id_x,AWATER,LSAD,CBSAFP,STATEFP,COUNTYFP,NAMELSAD,ALAND,County,County_1,District_C,Mean_Yield,Min_Yield_,Max_Yield_,Std_Dev_Yi,Mean_Yie_1,Min_Yield1,Max_Yield1,Std_Dev__1,Unit,Shape_Leng,Shape_Area,mean_grain_yield_B,mean_yield_run_2003,mean_yield_run_2004,mean_yield_run_2005,mean_yield_run_2006,mean_yield_run_2002,STD_2002_2006_D,mean_grain_yield_D
00000000000000000689,22010741.0,06,13100,31,067,Gage County,2205275200.0,GAGE,GAGE,90,3.497047093,48,55,3.240370349,3.497047093,3.228043471,3.69879981,0.217917841,Tons/Ha,1.95031300628,0.235795612917,3.3776263565891473,3.1600852713178296,3.762589147286822,3.2860155038759693,3.249038759689922,3.4304031007751936,0.23623779182256013,3.3776263565891473
00000000000000000ac3,1718484.0,06,,31,129,Nuckolls County,1489645187.0,NUCKOLLS,NUCKOLLS,90,3.779500897,53,60,3.1144823,3.779500897,3.564297999,4.035054338,0.209451755,Tons/Ha,1.60265399355,0.157692784088,3.5615750000000004,3.3497954545454545,3.994125,3.371590909090909,3.3852272727272723,3.707136363636364,0.28298880926170106,3.5615750000000004
00000000000000000acd,14232352.0,06,,31,095,Jefferson County,1476736212.0,JEFFERSON,JEFFERSON,90,3.604648542,46,59,4.827007354,3.604648542,3.093541659,3.967803433,0.324620616,Tons/Ha,1.60388389775,0.157646817986,3.4197655172413794,3.133448275862069,3.8703448275862065,3.3097241379310347,3.313103448275862,3.472206896551724,0.2789423228923757,3.4197655172413794
00000000000000000ace,5821039.0,06,,31,151,Saline County,1486812299.0,SALINE,SALINE,90,3.752600535,52,59,2.774887385,3.752600535,3.497047093,3.967803433,0.18661369,Tons/Ha,1.60782933933,0.158627690389,3.48609898989899,3.326494949494949,3.902080808080808,3.446020202020202,3.3165858585858583,3.4393131313131313,0.24033531277164488,3.48609898989899
00000000000000000ad0,8689334.0,06,,31,131,Otoe County,1594561657.0,OTOE,OTOE,90,3.429796188,42,56,5.830951895,3.429796188,2.824538037,3.766050716,0.392136796,Tons/Ha,2.08404696808,0.170696721167,3.4258822429906544,3.2703364485981306,3.777252336448598,3.387392523364486,3.266280373831776,3.4281495327102807,0.20893467429344212,3.4258822429906544
00000000000000000ad3,5769942.0,06,,31,127,Nemaha County,1055100620.0,NEMAHA,NEMAHA,90,3.523947456,45,58,6.426507605,3.523947456,3.026290754,3.900552527,0.432188457,Tons/Ha,1.69706679616,0.112518587915,3.301896875,3.215546875,3.6513125,3.004234375,3.232015625,3.406375,0.24184170086312087,3.301896875
00000000000000000ae0,1711433.0,06,,31,097,Johnson County,974023330.0,JOHNSON,JOHNSON,90,3.470146731,47,56,3.209361307,3.470146731,3.160792565,3.766050716,0.215832454,Tons/Ha,1.31743348765,0.103494957856,3.398311111111111,3.1294444444444447,3.7998703703703707,3.3095,3.2668518518518517,3.485888888888889,0.2580590729869649,3.398311111111111
00000000000000000ae9,3025339.0,06,,31,169,Thayer County,1486153243.0,THAYER,THAYER,90,3.739150354,52,60,3.286335345,3.739150354,3.497047093,4.035054338,0.221009028,Tons/Ha,1.60290452228,0.157459054601,3.4909772727272728,3.2202613636363635,3.925977272727273,3.349056818181818,3.3394204545454547,3.6201704545454545,0.2838634646352928,3.4909772727272728
00000000000000000af7,2989990.0,06,,31,059,Fillmore County,1490202784.0,FILLMORE,FILLMORE,90,3.860201984,53,64,4.159326869,3.860201984,3.564297999,4.304057961,0.279718499,Tons/Ha,1.60917232819,0.158688719739,3.600789690721649,3.3447319587628868,3.968814432989691,3.582659793814433,3.438536082474227,3.6692061855670106,0.2410101223680364,3.600789690721649
00000000000000000af9,3234877.0,06,,31,035,Clay County,1482222908.0,CLAY,CLAY,90,3.954353252,55,65,4.494441011,3.954353252,3.69879981,4.371308867,0.302255228,Tons/Ha,1.60394008302,0.157864365341,3.6634343434343437,3.470030303030303,4.021171717171717,3.701373737373737,3.5384141414141412,3.586181818181818,0.21703602961068125,3.6634343434343437
00000000000000000ae4,4852361.0,06,,31,133,Pawnee County,1116478182.0,PAWNEE,PAWNEE,90,3.631548905,50,58,4.0,3.631548905,3.362545282,3.900552527,0.269003623,Tons/Ha,1.43014061824,0.118488572874,3.3118363636363637,3.088469696969697,3.659090909090909,3.1814545454545455,3.170227272727273,3.459939393939394,0.2395127594941744,3.3118363636363637
00000000000000000afe,7077613.0,06,,31,147,Richardson County,1429261306.0,RICHARDSON,RICHARDSON,90,4.124722213,60,62,1.154700538,4.124722213,4.035054338,4.16955615,0.077654657,Tons/Ha,1.90016816837,0.151760072213,3.2267897435897437,3.244051282051282,3.5742820512820512,2.8556666666666666,3.049846153846154,3.410102564102564,0.28447048482924814,3.2267897435897437
